1, 12, 3, 31
1, 12, 21, 31
1, 12, 23, 31
2, 11, 31
2, 13, 4, 31
2, 13, 22, 31
2, 13, 24, 31
3, 12, 21, 31
3, 12, 23, 31
3, 14, 5, 31
3, 14, 23, 31
3, 14, 25, 31
4, 13, 22, 31
4, 13, 24, 31
4, 15, 6, 31
4, 15, 24, 31
4, 15, 26, 31
5, 14, 23, 31
5, 14, 25, 31
5, 16, 7, 31
5, 16, 25, 31
5, 16, 27, 31
6, 15, 24, 31
6, 15, 26, 31
6, 17, 8, 31
6, 17, 26, 31
6, 17, 28, 31
7, 16, 25, 31
7, 16, 27, 31
7, 18, 9, 31
7, 18, 27, 31
7, 18, 29, 31
8, 17, 26, 31
8, 17, 28, 31
8, 19, 10, 31
8, 19, 28, 31
8, 19, 30, 31
9, 18, 27, 31
9, 18, 29, 31
9, 20, 31
10, 19, 28, 31
10, 19, 30, 31
11, 22, 31
12, 21, 31, 23
13, 22, 31, 24
14, 23, 31, 25
15, 24, 31, 26
16, 25, 31, 27
17, 26, 31, 28
18, 27, 31, 29
19, 28, 31, 30
20, 29, 31
